"library_ID","Clade","Profile","Count","Count_sum","Count_freq","fastq_fwd_file_name","fastq_rev_file_name","host_genus","host_species","coral_tag","site_name","sequencing_run","expedition","sample_name","sra_accession","pub.name","lat","lon","level","continous.pressure.2km","expedition_class"
"97-15B_S354_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",13049,13049,1,"97-15B_S354_L001_R1_001.fastq.gz","97-15B_S354_L001_R2_001.fastq.gz","Pocillopora","grandis","651",19,"Bleaching3_run","2015b","KI15b_97","SAMN49903481","VL2",1.80255,-157.27339,1,0,"1_before"
"437-KI23b_S260_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",51346,51346,1,"437-KI23b_S260_L001_R1_001.fastq.gz","437-KI23b_S260_L001_R2_001.fastq.gz","Pocillopora","grandis","1886",19,"run10_shedd2024","2023b","KI23b_437","SAMN49904262","VL2",1.80255,-157.27339,1,0,"4_longafter"
"362_S359_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",30649,30649,1,"362_S359_L001_R1_001.fastq.gz","362_S359_L001_R2_001.fastq.gz","Pocillopora","grandis","778",34,"run2","2015b","KI15b_274","SAMN49903775","M3",1.90992,-157.53456,3,1212.82819,"1_before"
"PLATE3H9_S264_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",15678,15678,1,"PLATE3H9_S264_L001_R1_001.fastq.gz","PLATE3H9_S264_L001_R2_001.fastq.gz","Pocillopora","grandis","654",19,"SheddRun_Dec2020","2015c","KI15c_62","SAMN49904118","VL2",1.80255,-157.27339,1,0,"2_during"
"403-15C_S135_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",18988,18988,1,"403-15C_S135_L001_R1_001.fastq.gz","403-15C_S135_L001_R2_001.fastq.gz","Pocillopora","grandis","378",25,"Bleaching3_run","2015c","KI15c_403","SAMN49903569","M5",2.05002,-157.48611,3,1616.723937,"2_during"
"214_S213_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",13412,13412,1,"214_S213_L001_R1_001.fastq.gz","214_S213_L001_R2_001.fastq.gz","Pocillopora","grandis","109",35,"run2","2015a","KI15a_110","SAMN49903714","M2",1.89417,-157.54283,3,1212.82819,"1_before"
"103-15C_S83_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",23816,23816,1,"103-15C_S83_L001_R1_001.fastq.gz","103-15C_S83_L001_R2_001.fastq.gz","Pocillopora","grandis","582b",15,"Bleaching3_run","2015c","KI15c_103","SAMN49903559","VL1",1.82843,-157.32182,1,0,"2_during"
"378_S371_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",43353,43353,1,"378_S371_L001_R1_001.fastq.gz","378_S371_L001_R2_001.fastq.gz","Pocillopora","grandis","848",34,"run2","2015b","KI15b_344","SAMN49903781","M3",1.90992,-157.53456,3,1212.82819,"1_before"
"120_S120_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",20855,20855,1,"120_S120_L001_R1_001.fastq.gz","120_S120_L001_R2_001.fastq.gz","Pocillopora","grandis","3",35,"run2","2014","KI14_3","SAMN49903669","M2",1.89417,-157.54283,3,1212.82819,"1_before"
"298_S297_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",14096,14096,1,"298_S297_L001_R1_001.fastq.gz","298_S297_L001_R2_001.fastq.gz","Pocillopora","grandis","440",30,"run2","2015b","KI15b_71","SAMN49903762","VH3",2.02572,-157.498,5,5085.684783,"1_before"
"PLATE3C1_S195_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",15952,15952,1,"PLATE3C1_S195_L001_R1_001.fastq.gz","PLATE3C1_S195_L001_R2_001.fastq.gz","Pocillopora","grandis","654",19,"SheddRun_Dec2020","2015b","KI15b_100","SAMN49904099","VL2",1.80255,-157.27339,1,0,"1_before"
"849-KI13_S383_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",6218,6218,1,"849-KI13_S383_L001_R1_001.fastq.gz","849-KI13_S383_L001_R2_001.fastq.gz","Pocillopora","grandis","2013-849",14,"run10_shedd2024","2013","KI13_849","SAMN49904170","M4",1.87482,-157.56383,3,1159.552126,"1_before"
"328_S327_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",20228,20228,1,"328_S327_L001_R1_001.fastq.gz","328_S327_L001_R2_001.fastq.gz","Pocillopora","grandis","86",8,"run2","2015b","KI15b_175","SAMN49903732","M1",1.886,-157.552,3,1212.82819,"1_before"
"450-15C_S257_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",13978,13978,1,"450-15C_S257_L001_R1_001.fastq.gz","450-15C_S257_L001_R2_001.fastq.gz","Pocillopora","grandis","759",32,"Bleaching3_run","2015c","KI15c_450","SAMN49903603","VH2",1.984,-157.482,5,4860.745702,"2_during"
"266_S265_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",10227,10227,1,"266_S265_L001_R1_001.fastq.gz","266_S265_L001_R2_001.fastq.gz","Pocillopora","grandis","92",35,"run2","2015b","KI15b_21","SAMN49903803","M2",1.89417,-157.54283,3,1212.82819,"1_before"
"242-15B_S318_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",11201,11201,1,"242-15B_S318_L001_R1_001.fastq.gz","242-15B_S318_L001_R2_001.fastq.gz","Pocillopora","grandis","765",32,"Bleaching3_run","2015b","KI15b_242","SAMN49903503","VH2",1.984,-157.482,5,4860.745702,"1_before"
"440-KI23b_S268_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",54329,54329,1,"440-KI23b_S268_L001_R1_001.fastq.gz","440-KI23b_S268_L001_R2_001.fastq.gz","Pocillopora","grandis","1875",19,"run10_shedd2024","2023b","KI23b_440","SAMN49904260","VL2",1.80255,-157.27339,1,0,"4_longafter"
"219-KI23b_S274_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",13096,13096,1,"219-KI23b_S274_L001_R1_001.fastq.gz","219-KI23b_S274_L001_R2_001.fastq.gz","Pocillopora","grandis","1572",5,"run10_shedd2024","2023b","KI23b_219","SAMN49904227","VL3",1.84,-157.481,1,0,"4_longafter"
"316_S315_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",14492,14492,1,"316_S315_L001_R1_001.fastq.gz","316_S315_L001_R2_001.fastq.gz","Pocillopora","grandis","109",35,"run2","2015b","KI15b_154","SAMN49903791","M2",1.89417,-157.54283,3,1212.82819,"1_before"
"476-15C_S266_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",80439,80439,1,"476-15C_S266_L001_R1_001.fastq.gz","476-15C_S266_L001_R2_001.fastq.gz","Pocillopora","grandis","785",34,"Bleaching3_run","2015c","KI15c_476","SAMN49903610","M3",1.90992,-157.53456,3,1212.82819,"2_during"
"283-KI23b_S235_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",51997,51997,1,"283-KI23b_S235_L001_R1_001.fastq.gz","283-KI23b_S235_L001_R2_001.fastq.gz","Pocillopora","grandis","1757",37,"run10_shedd2024","2023b","KI23b_283","SAMN49904336","VL4",1.82799,-157.47693,1,0,"4_longafter"
"270_S269_L001","C","C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b",11524,11524,1,"270_S269_L001_R1_001.fastq.gz","270_S269_L001_R2_001.fastq.gz","Pocillopora","grandis","106",35,"run2","2015b","KI15b_28","SAMN49903790","M2",1.89417,-157.54283,3,1212.82819,"1_before"
