"Profile","Group","Profile_cols"
"C42g","Group_1","tan"
"C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b","Group_2","#054a8d"
"C42g/C42a-C1-C42.2-C1b","Group_2","#054a8d"
"C31-C21-C31d-C21aj","Group_3","#ae61ac"
"C31-C21-C31e","Group_3","#ae61ac"
"C31-C21-C31e-C31d","Group_3","#ae61ac"
"C31-C21-C31d-C21.11/C21ac-C21aj","Group_3","#ae61ac"
"C31-C21-C31e-C21.11/C21ac","Group_3","#ae61ac"
"C31-C21-C31d-C31e-C21aj","Group_3","#ae61ac"
"C31-C21-C31d-C42a","Group_3","#ae61ac"
"C31","Group_4","tan"
"C42a-C42.2-C1-C42b-C1b-C42ad-C42ac","Group_2","#054a8d"
"C42a-C42.2-C1-C42ad-C1b-C42ac-C42ah-C1az","Group_2","#054a8d"
"C42a-C42.2-C1-C1b-C42b-C42ad-C42ac-C42h-C42ai","Group_2","#054a8d"
"C42a-C1-C42.2-C1b-C42ad-C42ac-C3-C42ah","Group_2","#054a8d"
"C42a/C42.2/C1-C1b-C42ad-C1az-C3-C42ac","Group_2","#054a8d"
"C42a-C42.2-C1-C1b","Group_5","#9dbffe"
"C42a/C1/C42.2-C1b-C42ad-C1az-C1au-C42ac","Group_2","#054a8d"
"C42a-C42.2-C1-C42b-C1b-C42ad-C42ah-C42ac","Group_2","#054a8d"
"C42a-C42.2-C1-C3-C1b-C42ad","Group_5","#9dbffe"
"C42.2/C1-C42a-C42ad-C1au-C1b","Group_2","#054a8d"
"C42a-C42ad-C42.2-C1-C1b","Group_2","#054a8d"
"C42a-C42.2-C1-C1lq","Group_5","#9dbffe"
"C42a","Group_6","tan"
"C15-C15dt","Group_7","#00b778"
"C15","Group_7","#00b778"
"C1d","Group_8","tan"
"C42u","Group_9","tan"
