ITS2 type profile UID		77	78	102	108	86	94	114	101	104	105	91	98	96	100	109	117	81	113	107	115	119	121	82	84	85	116	118	120	122	144	129	128	126	134	136	141	132	133	138	125	140	124	131	137	139	127	135	142	143
Clade		A	A	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	D	F	G
Majority ITS2 sequence		A4y	A5b	C42a/C42.2/C1/C42g	C31	C31	C42a	C42g/C42a	C42a	C42a/C1/C42.2	C15	C42a	C31	C42a	C42a/C42.2/C1	C42a	C42a	C31	C31	C42a	C42.2/C1	C31	C1d	C31	C31	C42a	C42a	C42a	C15	C42u	C42g	D1/D1as	D1	D1	D1	D1	D6	D1	D1	D1/D4	D1	D1az	D1	D1/D1ax	D4/D1	D1	D1	D1at	F3f/F3g	G3x
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		1	1	308	168	156	91	23	18	9	8	7	6	5	5	4	4	3	3	2	2	2	2	1	1	1	1	1	1	1	1	83	12	7	5	5	5	4	4	4	3	3	2	2	2	2	1	1	1	2
ITS2 profile abundance DB		1	1	308	168	156	91	23	18	9	8	7	6	5	5	4	4	3	3	2	2	2	2	1	1	1	1	1	1	1	1	83	12	7	5	5	5	4	4	4	3	3	2	2	2	2	1	1	1	2
ITS2 type profile		A4y	A5b	C42a/C42.2/C1/C42g-C1b-C42ad-C42ac-C1az-C42b	C31-C21-C31d-C31e-C21aj	C31-C21-C31d-C21.11/C21ac-C21aj	C42a-C42.2-C1-C1b-C42b-C42ad-C42ac-C42h-C42ai	C42g/C42a-C1-C42.2-C1b	C42a-C42.2-C1-C1b	C42a/C1/C42.2-C1b-C42ad-C1az-C1au-C42ac	C15-C15dt	C42a-C42.2-C1-C42ad-C1b-C42ac-C42ah-C1az	C31-C21-C31e-C21.11/C21ac	C42a-C1-C42.2-C1b-C42ad-C42ac-C3-C42ah	C42a/C42.2/C1-C1b-C42ad-C1az-C3-C42ac	C42a-C42.2-C1-C3-C1b-C42ad	C42a-C42.2-C1-C1lq	C31-C21-C31d-C21aj	C31-C21-C31d-C42a	C42a-C42.2-C1-C42b-C1b-C42ad-C42ah-C42ac	C42.2/C1-C42a-C42ad-C1au-C1b	C31	C1d	C31-C21-C31e	C31-C21-C31e-C31d	C42a-C42.2-C1-C42b-C1b-C42ad-C42ac	C42a-C42ad-C42.2-C1-C1b	C42a	C15	C42u	C42g	D1/D1as-D1ax-D4-D1at-D6-D1au-D1aw-D1av	D1-D17d-D4-D17e-D1r-D17c-D17j-D4c	D1-D1as-D6-D1at-D4-D1ax	D1-D17d-D1as-D17e-D1ax-D1r-D4	D1-D17d-D4-D1r-D17e-D17c	D6	D1-D4-D4c	D1-D17d-D4c-D17e-D1r-D17ad-D17c	D1/D4	D1-D1as-D1ax-D4-D6-D1at-D1aw	D1az	D1-D1as-D4-D1ax-D6-D1at-D1au-D1aw	D1/D1ax-D1at-D1as-D6-D4-D1av	D4/D1-D17j-D17d-D1r	D1	D1-D1ax-D1as-D4-D1at-D6-D1au-D1av	D1at-D1as-D1-D1fl-D1au-D1aw-D1ax	F3f/F3g	G3x
1972	97-15B_S354_L001	0	0	13049.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2512	437-KI23b_S260_L001	0	0	51346.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2202	362_S359_L001	0	0	30649.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
