"coral_tag","host_species","expedition","health_status","max_colony_width"
"2013-50","Montipora aequituberculata","2013","alive",NA
"2013-111","Montipora aequituberculata","2013","alive",NA
"2013-881","Montipora aequituberculata","2013","alive",NA
"2013-883","Montipora aequituberculata","2013","alive",NA
"2013-886","Montipora aequituberculata","2013","alive",NA
"2013-1004","Montipora aequituberculata","2013","alive",NA
"2013-1005","Montipora aequituberculata","2013","alive",NA
"2013-863","Montipora aequituberculata","2013","alive",NA
"2013-869","Montipora aequituberculata","2013","alive",NA
"2013-872","Montipora aequituberculata","2013","alive",NA
"2013-875","Montipora aequituberculata","2013","alive",NA
"2013-878","Montipora aequituberculata","2013","alive",NA
"2013-284","Montipora aequituberculata","2013","alive",NA
"2013-287","Montipora aequituberculata","2013","alive",NA
"2013-290","Montipora aequituberculata","2013","alive",NA
"2013-293","Montipora aequituberculata","2013","alive",NA
"2013-296","Montipora aequituberculata","2013","alive",NA
"2013-299","Montipora aequituberculata","2013","alive",NA
"2013-128","Montipora aequituberculata","2013","alive",NA
"2013-131","Montipora aequituberculata","2013","alive",NA
"2013-134","Montipora aequituberculata","2013","alive",NA
"2013-148","Montipora aequituberculata","2013","alive",NA
"2013-150","Montipora aequituberculata","2013","alive",NA
"2013-934","Montipora aequituberculata","2013","alive",NA
"2013-65","Montipora aequituberculata","2013","alive",NA
"2013-71","Montipora aequituberculata","2013","alive",NA
"2013-74","Montipora aequituberculata","2013","alive",NA
"2013-102","Montipora aequituberculata","2013","alive",NA
"2013-60","Pocillopora grandis","2013","alive",NA
"2013-59","Pocillopora grandis","2013","alive",NA
"2013-112","Pocillopora grandis","2013","alive",NA
"2013-121","Pocillopora grandis","2013","alive",NA
"2013-849","Pocillopora grandis","2013","alive",NA
"2013-882","Pocillopora grandis","2013","alive",NA
"2013-888","Pocillopora grandis","2013","alive",NA
"2013-1006","Pocillopora grandis","2013","alive",NA
"2013-861","Pocillopora grandis","2013","alive",NA
"2013-870","Pocillopora grandis","2013","alive",NA
"2013-873","Pocillopora grandis","2013","alive",NA
"2013-876","Pocillopora grandis","2013","alive",NA
"2013-283","Pocillopora grandis","2013","alive",NA
"2013-286","Pocillopora grandis","2013","alive",NA
"2013-289","Pocillopora grandis","2013","alive",NA
"2013-298","Pocillopora grandis","2013","alive",NA
