coral_tag,max_colony_width,expedition
159,3.368,2017
275,8.477,2014
603,8.49,2015a
943,11.462,2017
943,12.53,2018
186,12.6,2015c 
943,12.979,2019
116,13.106,2015b
120,13.244,2014
582,13.375,2015a
1291,13.462,2018
152,13.807,2014
43,14.711,2015a
997,14.776,2016b
1329,15.103,2018
477b,15.121,2015b
764,15.451,2016b
1328,15.778,2018
142,15.916,2014
2094,16.036,2023b
468,16.423,2015a
1769,16.669,2023b
599,16.984,2015a
1307,17.044,2018
1173,17.146,2017
88,17.242,2014
43,17.425,2014
1569,17.535,2023b
1819,17.756,2023b
463,17.872,2014
688,17.876,2015b
654,18.034,2015b
759,18.227,2015b
1328,18.238,2019
92,18.27,2015a
1225,18.374,2017
1307,18.519,2019
477b,18.59,2015a
114,18.7,2014
3,18.722,2014
88,18.769,2015c
718,18.857,2015c
1235,18.883,2017
764,18.931,2017
579,19.019,2015a
378,19.028,2014
84,19.043,2014
1792,19.105,2023b
997,19.216,2017
469,19.222,2015b
579,19.258,2015b
747,19.328,2015b
1187,19.44,2017
1649,19.504,2023b
1485,19.638,2023b
1173,19.68,2018
116,19.824,2014
901,19.852,2016b
626,19.88,2015c
1894,19.963,2023b
1185,20.052,2017
1873,20.125,2023b
1329,20.148,2019
378,20.242,2015c
84,20.296,2015c
477,20.44,2014
171,20.589,2014
1597,20.684,2023b
1810,20.696,2023b
184,20.732,2014
1798,20.881,2023b
2204,20.892,2023b
1173,20.983,2019
1593,21.017,2023b
868,21.061,2015c
667,21.204,2015c
1814,21.377,2023b
468,21.427,2014
50,21.541,2014
1825,21.551,2023b
667,21.589,2015b
453b,21.621,2015a
626,21.663,2015a
861,21.773,2015c
460,21.872,2014
116,21.99,2015c
1295,21.997,2018
617,22.034,2015a
1562,22.056,2023b
655,22.093,2015c
174,22.131,2014
606,22.141,2015c
688,22.145,2015c
764,22.169,2018
397,22.271,2015c
3,22.279,2015a
322,22.286,2014
655,22.388,2015b
1802,22.424,2023b
129,22.449,2014
149,22.456,2014
651,22.498,2015b
943,22.513,2016a
405,22.544,2015c
1837,22.555,2023b
1473,22.558,2023b
171,22.563,2015c
1571,22.564,2023b
2152,22.569,2023b
750,22.669,2015b
2006,22.805,2023b
139,22.829,2015b
756,22.884,2015b
296,22.904,2014
866,22.968,2015c
1875,22.982,2023b
1575,22.985,2023b
355,23.025,2015b
129,23.061,2015c
1594,23.065,2023b
599,23.075,2015b
139,23.155,2014
1718,23.162,2023b
1647,23.2,2023b
1368,23.239,2019
1599,23.28,2023b
747,23.299,2015c
1886,23.305,2023b
1848,23.306,2023b
186,23.343,2014
309,23.351,2014
179,23.361,2015c
1946,23.361,2023b
636,23.371,2015a
660,23.422,2015c
1891,23.457,2023b
251,23.471,2014
2198,23.511,2023b
889,23.537,2015c 
2049,23.549,2023b
1464,23.573,2023b
123,23.579,2015b
589,23.579,2015b
1989,23.604,2023b
1882,23.608,2023b
347,23.725,2014
2182,23.864,2023b
1367,23.906,2019
106,23.912,2015a
65,23.992,2014
1392,24.027,2023b
92,24.036,2014
336,24.122,2014
452,24.133,2014
2023,24.157,2023b
1757,24.189,2023b
764,24.203,2019
216,24.206,2015c
778,24.269,2015b
74,24.299,2014
142,24.31,2015a
731,24.32,2015b
1570,24.34,2023b
1173,24.373,2023b
1677,24.385,2023b
1525,24.394,2023b
739,24.413,2015b
145,24.435,2014
1448,24.476,2023b
2033,24.514,2023b
78,24.603,2014
145,24.617,2015b
718,24.627,2015b
765,24.645,2015b
823,24.658,2015b
1691,24.661,2023b
1618,24.749,2023b
1549,24.772,2023b
858,24.818,2015b
651,24.835,2015c
2112,24.862,2023b
