Label,coralnet.tag,Bleached,Substrate,Life.H,Species
PEYDO,PEYDO,Healthy,HARD.CORAL,Competitive,Pocillopora.eydouxi
Loph,Loph,Healthy,SOFT.CORAL,Soft.Coral,Lobophytum.spp
Porit,Porit,Healthy,HARD.CORAL,Stress-tolerant,Porites.spp
Sediment,Sediment,Healthy,ABIOTIC.SUBSTRATES,Not.Coral,Not.Coral
TURFH,TURFH,Healthy,TURF.ALGAE,Not.Coral,Not.Coral
CCA,CCA,Healthy,CCA.PEY,Not.Coral,Not.Coral
B_Porit,B_Porit,Bleaching,HARD.CORAL,Stress-tolerant,Porites.spp
Sand,Sand,Healthy,ABIOTIC.SUBSTRATES,Not.Coral,Not.Coral
PMEAN,PMEAN,Healthy,HARD.CORAL,Competitive,Pocillopora.meandrina
Sinu,Sinu,Healthy,SOFT.CORAL,Soft.Coral,Sinularia.spp
Caul,Caul,Healthy,FLESH.MACRO,Not.Coral,Not.Coral
HYDNO,HYDNO,Healthy,HARD.CORAL,Stress-tolerant,Hydnophora.microconos
FaviaM,FaviaM,Healthy,HARD.CORAL,Stress-tolerant,Favia.matthai
PVAR,PVAR,Healthy,HARD.CORAL,Stress-tolerant,Pavona.varians
FavPent,FavPent,Healthy,HARD.CORAL,Stress-tolerant,Favites.pentagona
Hali,Hali,Healthy,FLESH.MACRO,Not.Coral,Not.Coral
Lepta,Lepta,Healthy,HARD.CORAL,Weedy,Leptastrea.spp
*MOEN,X.MOEN,Healthy,HARD.CORAL,Competitive,Montipora.encrusting
B_MOEN,B_MOEN,Bleaching,HARD.CORAL,Competitive,Montipora.encrusting
Peysson,Peysson,Healthy,CCA.PEY,Not.Coral,Not.Coral
Turf,Turf,Healthy,TURF.ALGAE,Not.Coral,Not.Coral
Plat,Plat,Healthy,HARD.CORAL,Stress-tolerant,Platygyra.spp
SCRO,SCRO,Healthy,ABIOTIC.SUBSTRATES,Not.Coral,Not.Coral
Monta,Monta,Healthy,HARD.CORAL,Stress-tolerant,Montastrea.spp
Rubble,Rubble,Healthy,ABIOTIC.SUBSTRATES,Not.Coral,Not.Coral
*MOFO,X.MOFO,Healthy,HARD.CORAL,Competitive,Montipora.foliose
AcCor,AcCor,Healthy,HARD.CORAL,Competitive,Acropora.corymbose
FaviaSt,FaviaSt,Healthy,HARD.CORAL,Stress-tolerant,Favia.stelligera
B_HYDNO,B_HYDNO,Bleaching,HARD.CORAL,Stress-tolerant,Hydnophora.microconos
B_PEYDO,B_PEYDO,Bleaching,HARD.CORAL,Competitive,Pocillopora.eydouxi
PaveDUER,PaveDUER,Healthy,HARD.CORAL,Stress-tolerant,Pavona.duerdeni
AcroTab,AcroTab,Healthy,HARD.CORAL,Competitive,Acropora.tabulate
Lepto,Lepto,Healthy,HARD.CORAL,Stress-tolerant,Leptoseris.spp
B_PMEAN,B_PMEAN,Bleaching,HARD.CORAL,Competitive,Pocillopora.meandrina
Mille,Mille,Healthy,OTHER.INVERTEBRATES,Not.Coral,Not.Coral
B_FaviaSt,B_FaviaSt,Bleaching,HARD.CORAL,Stress-tolerant,Favia.stelligera
Sponge,Sponge,Healthy,OTHER.INVERTEBRATES,Not.Coral,Not.Coral
B_FavPent,B_FavPent,Bleaching,HARD.CORAL,Stress-tolerant,Favites.pentagona
Pocill,Pocill,Healthy,HARD.CORAL,Competitive,Pocillopora.spp
Acrop,Acrop,Healthy,HARD.CORAL,Competitive,Acropora.spp
FaviaS,FaviaS,Healthy,HARD.CORAL,Stress-tolerant,Favia.speciosa
B_MOFO,B_MOFO,Bleaching,HARD.CORAL,Competitive,Montipora.foliose
B_FaviaS,B_FaviaS,Bleaching,HARD.CORAL,Stress-tolerant,Favia.speciosa
AcDig,AcDig,Healthy,HARD.CORAL,Competitive,Acropora.digitate
B_Astre,B_Astre,Bleaching,HARD.CORAL,Stress-tolerant,Astreopora.spp
Astreo,Astreo,Healthy,HARD.CORAL,Stress-tolerant,Astreopora.spp
BAT,BAT,Bleaching,HARD.CORAL,Competitive,Acropora.tabulate
Sarco,Sarco,Healthy,SOFT.CORAL,Soft.Coral,Sarcophyton.spp
Macro,Macro,Healthy,FLESH.MACRO,Not.Coral,Not.Coral
B_Plat,B_Plat,Bleaching,HARD.CORAL,Stress-tolerant,Platygyra.spp
FavHal,FavHal,Healthy,HARD.CORAL,Stress-tolerant,Favites.halicora
B_FaviaM,B_FaviaM,Bleaching,HARD.CORAL,Stress-tolerant,Favia.matthai
Fung,Fung,Healthy,HARD.CORAL,Stress-tolerant,Fungia.spp
Paly,Paly,Healthy,OTHER.INVERTEBRATES,Not.Coral,Not.Coral
Gardin,Gardin,Healthy,HARD.CORAL,Stress-tolerant,Gardineroseris.spp
B_Fung,B_Fung,Bleaching,HARD.CORAL,Stress-tolerant,Fungia.spp
Herpo,Herpo,Healthy,HARD.CORAL,Stress-tolerant,Herpolitha.spp
B_Monta,B_Monta,Bleaching,HARD.CORAL,Stress-tolerant,Montastrea.spp
CYAN,CYAN,Healthy,CYANOBACTERIA,Not.Coral,Not.Coral
MOBI,MOBI,Healthy,OTHER.INVERTEBRATES,Not.Coral,Not.Coral
Lobo,Lobo,Healthy,HARD.CORAL,Stress-tolerant,Lobophyllia.spp
Favia,Favia,Healthy,HARD.CORAL,Stress-tolerant,Favia.spp
Psam,Psam,Healthy,HARD.CORAL,Stress-tolerant,Psammocora.spp
HyExe,HyExe,Healthy,HARD.CORAL,Generalist,Hydnophora.exesa
Clad,Clad,Healthy,SOFT.CORAL,Soft.Coral,Cladiella.spp
B_Paly,B_Paly,Bleaching,OTHER.INVERTEBRATES,Not.Coral,Not.Coral
Stylas,Stylas,Healthy,OTHER.INVERTEBRATES,Not.Coral,Not.Coral
B_Herpo,B_Herpo,Bleaching,HARD.CORAL,Stress-tolerant,Herpolitha.spp
GonEd,GonEd,Healthy,HARD.CORAL,Stress-tolerant,Goniastrea.edwardsi
B_Lepta,B_Lepta,Bleaching,HARD.CORAL,Weedy,Leptastrea.spp
ANEM,ANEM,Healthy,OTHER.INVERTEBRATES,Not.Coral,Not.Coral
B_PVAR,B_PVAR,Bleaching,HARD.CORAL,Stress-tolerant,Pavona.varians
B_PaveDUER,B_PaveDUER,Bleaching,HARD.CORAL,Stress-tolerant,Pavona.duerdeni
B_GonEd,B_GonEd,Bleaching,HARD.CORAL,Stress-tolerant,Goniastrea.edwardsi
B_Lepto,B_Lepto,Bleaching,HARD.CORAL,Stress-tolerant,Leptoseris.spp
B_FavHal,B_FavHal,Bleaching,HARD.CORAL,Stress-tolerant,Favites.halicora
Fav,Fav,Healthy,HARD.CORAL,Stress-tolerant,Favites.spp
BlAcro-Cor,BlAcro-Cor,Bleaching,HARD.CORAL,Competitive,Acropora.corymbose
