library_ID,fastq_fwd_file_name,fastq_rev_file_name,host_genus,host_species,coral_tag,site_name,sequencing_run,expedition,sample_name,sra_accession
1004-KI13_S151_L001,1004-KI13_S151_L001_R1_001.fastq.gz,1004-KI13_S151_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-1004,19,run10_shedd2024,2013,KI13_1004,SAMN49904176
1005-KI13_S159_L001,1005-KI13_S159_L001_R1_001.fastq.gz,1005-KI13_S159_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-1005,19,run10_shedd2024,2013,KI13_1005,SAMN49904177
1006-KI13_S134_L001,1006-KI13_S134_L001_R1_001.fastq.gz,1006-KI13_S134_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-1006,19,run10_shedd2024,2013,KI13_1006,SAMN49904183
102-KI13_S198_L001,102-KI13_S198_L001_R1_001.fastq.gz,102-KI13_S198_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-102,35,run10_shedd2024,2013,KI13_102,SAMN49904219
106-KI13_S214_L001,106-KI13_S214_L001_R1_001.fastq.gz,106-KI13_S214_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-106,35,run10_shedd2024,2013,KI13_106,SAMN49904220
109-KI13_S230_L001,109-KI13_S230_L001_R1_001.fastq.gz,109-KI13_S230_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-109,35,run10_shedd2024,2013,KI13_109,SAMN49904221
111-KI13_S343_L001,111-KI13_S343_L001_R1_001.fastq.gz,111-KI13_S343_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-111,14,run10_shedd2024,2013,KI13_111,SAMN49904167
112-KI13_S351_L001,112-KI13_S351_L001_R1_001.fastq.gz,112-KI13_S351_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-112,14,run10_shedd2024,2013,KI13_112,SAMN49904168
121-KI13_S367_L001,121-KI13_S367_L001_R1_001.fastq.gz,121-KI13_S367_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-121,14,run10_shedd2024,2013,KI13_121,SAMN49904169
128-KI13_S295_L001,128-KI13_S295_L001_R1_001.fastq.gz,128-KI13_S295_L001_R2_001.fastq.gz,Montipora,aequituberculata,2013-128,27,run10_shedd2024,2013,KI13_128,SAMN49904201
129-KI13_S303_L001,129-KI13_S303_L001_R1_001.fastq.gz,129-KI13_S303_L001_R2_001.fastq.gz,Pocillopora,grandis,2013-129,27,run10_shedd2024,2013,KI13_129,SAMN49904207
