"expedition","expedition_class","expedition_date","total photoquadrats","Montipora aequituberculata DNA samples","Pocillopora grandis DNA samples"
"2013","1_before","17 July 2013 - 7 August 2013",490,25,31
"2014","1_before","20 August 2014 - 10 September 2014",253,110,103
"2015a","1_before","21 January 2015 - 4 Febrary 2015",140,34,32
"2015b","1_before","28 April 2015 - 12 May 2015",224,66,73
"2015c","2_during","1 July 2015 - 28 July 2015",415,101,101
"2016a","2_during","16 March 2016 - 6 April 2016",413,1,5
"2016b","3_after","9 November 2016 - 23 November 2016",360,1,4
"2017","3_after","5 July 2017 - 2 August 2017",757,1,9
"2018","3_after","13 June 2018 - 4 July 2018",337,1,13
"2019","3_after","17 July 2019 - 14 August 2019",400,2,21
"2023","4_longafter","6 September 2023 - 4 october 2023",1076,3,119
