"Species","pub.name","1_before","3_after","change_in_prop_cover"
"Montipora aequituberculata","VL1",24.43,0,100
"Montipora aequituberculata","VL2",21.89,0,100
"Montipora aequituberculata","VL3",17.25,0,100
"Montipora aequituberculata","VL5",16.86,0,100
"Montipora aequituberculata","L1",13.2,0,100
"Montipora aequituberculata","L2",4.36,0,100
"Montipora aequituberculata","L4",1.71,0,100
"Montipora aequituberculata","L5",18.1,0,100
"Montipora aequituberculata","M1",1.45,0,100
"Montipora aequituberculata","M10",21.82,0,100
"Montipora aequituberculata","M2",6.47,0,100
"Montipora aequituberculata","M3",0.58,0,100
"Montipora aequituberculata","M4",0.28,0,100
"Montipora aequituberculata","M5",5.97,0,100
"Montipora aequituberculata","M6",3.29,0,100
"Montipora aequituberculata","H2",1.21,0,100
"Montipora aequituberculata","VH1",0.37,0,100
"Montipora aequituberculata","VH2",0.39,0,100
"Montipora aequituberculata","VH3",1.21,0,100
"Pocillopora grandis","VL1",1.92,0.03,98.44
"Pocillopora grandis","VL2",7.75,0.16,97.94
"Pocillopora grandis","VL3",4.19,0,100
"Pocillopora grandis","VL5",1.41,0,100
"Pocillopora grandis","L1",4.33,0.11,97.46
"Pocillopora grandis","L2",3.39,0.07,97.94
"Pocillopora grandis","L4",1.31,0,100
"Pocillopora grandis","L5",5.54,0.28,94.95
"Pocillopora grandis","M1",2.62,0.02,99.24
"Pocillopora grandis","M10",3.62,0,100
"Pocillopora grandis","M2",2.91,0.03,98.97
"Pocillopora grandis","M3",3.01,0,100
"Pocillopora grandis","M4",3.1,0,100
"Pocillopora grandis","M5",2.79,0,100
"Pocillopora grandis","M6",4.83,0.03,99.38
"Pocillopora grandis","H2",4.18,0.11,97.37
"Pocillopora grandis","VH1",0.09,0,100
"Pocillopora grandis","VH2",0.22,0.05,77.27
"Pocillopora grandis","VH3",2.56,0.05,98.05
